Movie_Title,Storyline_Raw,Storyline_Processed
"Sudan, Remember Us","Star Trek: Voyager, premiered in 1995. Its unique premise of a crew stranded 70k light years from home offered fresh storytelling. Voyager has since been appreciated for its cultural impact and contributions to the Star Trek universe.",star trek voyager premiered unique premise crew stranded k light years home offered fresh storytelling voyager since appreciated cultural impact contributions star trek universe
BFF - Best Friends Forever,"A tribute to auteur Mrinal Sen in his birth centenary year, the film traces Anjan Dutt's captivating journey with the celluloid maestro in 1981, marking the beginning of a unique mentor-protégé relationship.",tribute auteur mrinal sen birth centenary year film traces anjan dutt captivating journey celluloid maestro marking beginning unique mentor prot g relationship
Entre Fronteras,"The Jariwala family is devastated when Kavya is diagnosed infertile. Craving a child, she and husband Nirav adopt two girls, 7 and 13, accidentally.",jariwala family devastated kavya diagnosed infertile craving child husband nirav adopt two girls accidentally
Üç Günlük Dünya,A group filming a horror movie in a house encounters three malevolent ghosts. A sequel to the 2014 film Geethanjali.,group filming horror movie house encounters three malevolent ghosts sequel film geethanjali
Missing from Fire Trail Road,"A 1960s Montreal housewife wins a million trading stamps and hosts a gathering for family and neighbors to help organize them, but the evening reveals hidden tensions and envy among the women.",montreal housewife wins million trading stamps hosts gathering family neighbors help organize evening reveals hidden tensions envy among women
Core,"When Alain Brel is supposed to play, his fate mixes with that of the artist. This encounter brings him closer to his daughter and turns his life upside down",alain brel supposed play fate mixes artist encounter brings closer daughter turns life upside
Twisters: The Real Story,"Suraya, a communist, Sima, a conservative - whose friendship endures despite radically opposing political views.",suraya communist sima conservative whose friendship endures despite radically opposing political views
Nanban Oruvan Vantha Piragu,"A happy couple invites an old friend into their relationship, but their dream of polyamory shatters when her troubled past emerges, turning their passionate experiment into a dangerous game of survival.",happy couple invites old friend relationship dream polyamory shatters troubled past emerges turning passionate experiment dangerous game survival
Tartinijev kljuc,"December 1924, Karl Denke fails to smite Vincenz Olivier with a pickaxe. He would have been his 31st victim. The film thus reconstructs the mind, motivation, and psyche of its main character in intense dialog between him and the inspector.",december karl denke fails smite vincenz olivier pickaxe would st victim film thus reconstructs mind motivation psyche main character intense dialog inspector
It's Never Just Sex,"A man so-called 'figurehead', who makes money out of his name, living as a 'Dead man' after being falsely accused of embezzlement of 100 billion won.",man called figurehead makes money name living dead man falsely accused embezzlement billion
When Magic Hurts,"A group of strangers, who each escaped a serial killer, are trapped with one in a historic inn. Will any of them live long enough to figure out who the killer is?",group strangers escaped serial killer trapped one historic inn live long enough figure killer
Eye for an Eye,A group of friends return to their hometown after many years. The trip is an excuse to reminisce about old times but turns into a nightmare when they unearth their darkest memories.,group friends return hometown many years trip excuse reminisce old times turns nightmare unearth darkest memories
Death Without Mercy,Two sorority girls descend into madness when they are haunted by an inhuman slasher.,two sorority girls descend madness haunted inhuman slasher
Blindgänger,"Over 25 years and 10 studio albums, this Scottish band has defined its own musical genre by mixing powerful sonic force with subtlety and grace.",years studio albums scottish band defined musical genre mixing powerful sonic force subtlety grace
Karanliktan Kacis,"The life of the former Chief Minister of Andhra Pradesh, the late YS Rajasekhara Reddy.",life former chief minister andhra pradesh late ys rajasekhara reddy
Vixen,"Four girlfriends' weekend getaway takes a dark turn when secrets come to light. Friendships are tested, lives are upended, and the women question the authenticity of their bonds as deadly events unfold.",four girlfriends weekend getaway takes dark turn secrets come light friendships tested lives upended women question authenticity bonds deadly events unfold
Blood Mountain Massacre,March 8th 1972. Maria Silvia Spolato is the first woman to publicly come out as lesbian in Italy. This act of courage will overturn her life upside down.,march th maria silvia spolato first woman publicly come lesbian italy act courage overturn life upside
Best Supporting Actors,"On the day his girlfriend leaves their baby with him, Noah (16) is thrown into adulthood too soon. Full in denial, he gets on his motorbike to bring their son back. But driving away to get loose gradually becomes a journey to connection.",day girlfriend leaves baby noah thrown adulthood soon full denial gets motorbike bring son back driving away get loose gradually becomes journey connection
Los Justos,"Three years ago, On August 31st, A gigantic spaceship called the Mothership suddenly attacked Tokyo, and it seemed like the world was coming to an end. After that, the hopeless situation gradually became part of everyday life, and the strange sight of a mothership floating in the sky became commonplace. Meanwhile, high school girls Kadode Koyama and Oran Nakagawa, also known as ""Ontan,"" are living a casual student life with her homeroom teacher, Watarase, and her close friends.",three years ago august st gigantic spaceship called mothership suddenly attacked tokyo seemed like world coming end hopeless situation gradually became part everyday life strange sight mothership floating sky became commonplace meanwhile high school girls kadode koyama oran nakagawa also known ontan living casual student life homeroom teacher watarase close friends
Canta Y No Llores,"France, Valensole, 1965. At dawn, Maurice Masse, a farmer, discovers in his lavender field a UFO that takes off at an astonishing speed, leaving traces on the ground. Based on a true story.",france valensole dawn maurice masse farmer discovers lavender field ufo takes astonishing speed leaving traces ground based true story
Source,"Retired musician Lincoln, a record store owner and father to estranged sisters Lydia, Gracie, and Abigail, conspires with friend Genelle to reunite them for Christmas after their mother's passing.",retired musician lincoln record store owner father estranged sisters lydia gracie abigail conspires friend genelle reunite christmas mother passing
Go Against the Flow,"Utilizing archival footage, interviews, and dramatized scenes, the film examines the Watergate probe through the lens of Geoff Shepard's research, the former deputy counsel who recently analyzed the special prosecutor's records.",utilizing archival footage interviews dramatized scenes film examines watergate probe lens geoff shepard research former deputy counsel recently analyzed special prosecutor records
Cherry Bomb,A beautiful and successful socialite finds herself an unwitting target in a horrific plot to gain her trust and take her for everything.,beautiful successful socialite finds unwitting target horrific plot gain trust take everything
Alaap,"A conman juggles four different identities, each with a distinct personality, while living with four women simultaneously. An investigator uncovers his fraud by delving into his shifting personas through first-hand investigation.",conman juggles four different identities distinct personality living four women simultaneously investigator uncovers fraud delving shifting personas first hand investigation
Khusma,"Ebenezer the Traveler continues the journey of the famous Ebenezer Scrooge following the events of ""A Christmas Carol"". In this untold twist, Ebenezer Scrooge is now enlisted as one of the spirits to help those in need.",ebenezer traveler continues journey famous ebenezer scrooge following events christmas carol untold twist ebenezer scrooge enlisted one spirits help need
"From Christmas, with Love","Delve into George Clooney's multifaceted life, from his Hollywood rise to humanitarian endeavors. Intimate interviews unveil the legend's impact on film and society.",delve george clooney multifaceted life hollywood rise humanitarian endeavors intimate interviews unveil legend impact film society
Lost Sabungeros,"Recording of Ado's live ""Shinzou"" performance, that established her as the first solo female artist to perform at the iconic Japan National Stadium.",recording ado live shinzou performance established first solo female artist perform iconic japan national stadium
Bhagia Bharija,"Katie's horse sanctuary faces closure. To save it, she must convince her grandfather, Bluegrass star Ben Pendleton, to perform at a Christmas benefit concert after years of seclusion.",katie horse sanctuary faces closure save must convince grandfather bluegrass star ben pendleton perform christmas benefit concert years seclusion
Tri bogatyrya. Ni dnya bez podviga,"Ratheesh working in Singapore dreams of settling in a village with his mother.He falls for his neighbor Jumai,a bidi roller but she shows no interest.Suspecting she might be a lesbian,his life spirals unexpectedly as he follows his doubts",ratheesh working singapore dreams settling village mother falls neighbor jumai bidi roller shows interest suspecting might lesbian life spirals unexpectedly follows doubts
Jaunt,"10 people escape bombing on small boat, which unexpectedly stops and sinks mid-journey. Passengers struggle to survive as boat goes down.",people escape bombing small boat unexpectedly stops sinks mid journey passengers struggle survive boat goes
Murphy,"A young man whose life goes for a toss after he suffers an accident. Raju develops a rare facial disorder, compelling him to smile incessantly. This affliction plunges his life into misery, particularly when he falls for Sweety",young man whose life goes toss suffers accident raju develops rare facial disorder compelling smile incessantly affliction plunges life misery particularly falls sweety
Una ballena,"El Bolero de Rubén is a tragic film about Marta, a woman in Medellín, who dreams of becoming a singer amidst her frustration, anger, and fear, based on a play.",el bolero de rub n tragic film marta woman medell n dreams becoming singer amidst frustration anger fear based play
Tiempo de Pagar,Three couples explore polyamory with guidance from mentors and experts. A filmmaker documents their intimate journey of desires and uncertainties over several years without judgment.,three couples explore polyamory guidance mentors experts filmmaker documents intimate journey desires uncertainties several years without judgment
